Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1871-01-01,4.44,0.26,0.4,12.46,5.32,117.69670304975924,6.39,10.603306581059389,0.0
1871-02-01,4.5,0.26,0.4,12.84,5.32,115.7568925233645,6.2,10.289501557632398,0.0
1871-03-01,4.61,0.26,0.4,13.03,5.33,116.85730851880277,6.11,10.139462778204145,0.0
1871-04-01,4.74,0.26,0.4,12.56,5.33,124.6487914012739,6.34,10.51888535031847,0.0
1871-05-01,4.86,0.26,0.4,12.27,5.33,130.8251002444988,6.48,10.767497962510188,0.0
1871-06-01,4.82,0.26,0.4,12.08,5.34,131.78909437086094,6.59,10.93685430463576,0.0
1871-07-01,4.73,0.26,0.4,12.08,5.34,129.3283021523179,6.59,10.93685430463576,0.0
1871-08-01,4.79,0.26,0.4,11.89,5.34,133.06168797308663,6.69,11.11162321278385,0.0
1871-09-01,4.84,0.26,0.4,12.18,5.35,131.24943513957308,6.54,10.847060755336617,0.0
1871-10-01,4.59,0.26,0.4,12.37,5.35,122.5581948261924,6.43,10.680452708164916,0.0
1871-11-01,4.64,0.26,0.4,12.37,5.35,123.89325141471302,6.43,10.680452708164916,0.0
1871-12-01,4.74,0.26,0.4,12.65,5.36,123.76196205533599,6.29,10.44404743083004,0.0
1872-01-01,4.86,0.2633,0.4025,12.65,5.36,126.89517628458499,6.37,10.509322727272728,0.0
1872-02-01,4.88,0.2667,0.405,12.65,5.38,127.41737865612649,6.45,10.574598023715415,0.0
1872-03-01,5.04,0.27,0.4075,12.84,5.4,129.64771962616823,6.43,10.482429711838005,0.0
1872-04-01,5.18,0.2733,0.41,13.13,5.42,130.3059969535415,6.37,10.313795125666411,0.0
1872-05-01,5.18,0.2767,0.4125,13.13,5.43,130.3059969535415,6.45,10.376684120335108,0.0
1872-06-01,5.13,0.28,0.415,13.03,5.45,130.03861013046816,6.58,10.5196926323868,0.0
1872-07-01,5.1,0.2833,0.4175,12.84,5.47,131.19114485981308,6.75,10.739667250778815,0.0
1872-08-01,5.04,0.2867,0.42,12.94,5.49,128.6458052550232,6.78,10.720483771251933,0.0
1872-09-01,4.95,0.29,0.4225,13.03,5.51,125.4758518802763,6.81,10.709807559478127,0.0
1872-10-01,4.97,0.2933,0.425,12.75,5.52,128.74950666666666,7.04,11.009766666666668,0.0
1872-11-01,4.95,0.2967,0.4275,13.13,5.54,124.52020944402132,6.92,10.754018088347294,0.0
1872-12-01,5.07,0.3,0.43,12.94,5.56,129.41155409582692,7.1,10.97573338485317,0.0
1873-01-01,5.11,0.3025,0.4325,12.94,5.58,130.43255255023186,7.16,11.039545788253477,0.0
1873-02-01,5.15,0.305,0.435,13.23,5.57,128.57210506424792,7.06,10.859973922902494,0.0
1873-03-01,5.11,0.3075,0.4375,13.23,5.56,127.57348677248677,7.12,10.922387566137566,0.0
1873-04-01,5.04,0.31,0.44,13.23,5.55,125.82590476190475,7.18,10.98480120937264,0.0
1873-05-01,5.05,0.3125,0.4425,12.94,5.54,128.9010548686244,7.39,11.294795401854714,0.0
1873-06-01,4.98,0.315,0.445,12.56,5.53,130.96012261146498,7.68,11.7022599522293,0.0
1873-07-01,4.97,0.3175,0.4475,12.56,5.53,130.697150477707,7.74,11.768002985668788,0.0
1873-08-01,4.97,0.32,0.45,12.56,5.52,130.697150477707,7.8,11.83374601910828,0.0
1873-09-01,4.59,0.3225,0.4525,12.56,5.51,120.70420939490445,7.86,11.89948905254777,0.0
1873-10-01,4.19,0.325,0.455,12.27,5.5,112.78954115729424,8.11,12.24802893235534,0.0
1873-11-01,4.04,0.3275,0.4575,11.89,5.49,112.2273944491169,8.43,12.70891904962153,0.0
1873-12-01,4.42,0.33,0.46,12.18,5.48,119.86002134646964,8.3,12.474119868637112,0.0
1874-01-01,4.66,0.33,0.46,12.37,5.47,124.42727405012128,8.17,12.282520614389655,0.0
1874-02-01,4.8,0.33,0.46,12.37,5.44,128.165432497979,8.17,12.282520614389655,0.0
1874-03-01,4.73,0.33,0.46,12.37,5.4,126.29635327405013,8.17,12.282520614389655,0.0
1874-04-01,4.6,0.33,0.46,12.18,5.37,124.7411986863711,8.3,12.474119868637112,0.0
1874-05-01,4.48,0.33,0.46,12.08,5.34,122.49276821192055,8.36,12.577382450331127,0.0
1874-06-01,4.46,0.33,0.46,11.8,5.3,124.83955762711864,8.56,12.875828813559323,0.0
1874-07-01,4.46,0.33,0.46,11.89,5.27,123.89459882253995,8.49,12.77836669470143,0.0
1874-08-01,4.47,0.33,0.46,11.8,5.24,125.11946694915252,8.56,12.875828813559323,0.0
1874-09-01,4.54,0.33,0.46,11.8,5.2,127.07883220338984,8.56,12.875828813559323,0.0
1874-10-01,4.53,0.33,0.46,11.61,5.17,128.87401291989664,8.7,13.086544358311802,0.0
1874-11-01,4.57,0.33,0.46,11.51,5.14,131.14152997393572,8.77,13.200241529105128,0.0
1874-12-01,4.54,0.33,0.46,11.51,5.1,130.28064465682016,8.77,13.200241529105128,0.0
1875-01-01,4.54,0.3275,0.4517,11.51,5.07,130.28064465682016,8.71,12.96206325803649,0.0
1875-02-01,4.53,0.325,0.4433,11.51,5.03,129.9936828844483,8.64,12.721015369244137,0.0
1875-03-01,4.59,0.3225,0.435,11.51,4.99,131.7154535186794,8.58,12.482837098175501,0.0
1875-04-01,4.65,0.32,0.4267,11.61,4.95,132.28789405684756,8.44,12.139192342807926,0.0
1875-05-01,4.47,0.3175,0.4183,11.32,4.91,130.42488604240282,8.58,12.205084973498234,0.0
1875-06-01,4.38,0.315,0.41,11.13,4.87,129.98053369272236,8.66,12.167127583108714,0.0
1875-07-01,4.39,0.3125,0.4017,11.13,4.83,130.27729290206648,8.59,11.920817439353097,0.0
1875-08-01,4.41,0.31,0.3933,11.23,4.79,129.70544345503117,8.45,11.567607916295636,0.0
1875-09-01,4.37,0.3075,0.385,11.13,4.75,129.68377448337824,8.46,11.425229559748427,0.0
1875-10-01,4.3,0.305,0.3767,11.13,4.71,127.60646001796944,8.39,11.17891941599281,0.0
1875-11-01,4.37,0.3025,0.3683,11.04,4.67,130.74097916666668,8.39,11.018742019927538,0.0
1875-12-01,4.37,0.3,0.36,10.94,4.63,131.9360521023766,8.39,10.868873857404022,0.0
1876-01-01,4.46,0.3,0.3533,10.85,4.59,135.77021013824887,8.47,10.75507068202765,0.0
1876-02-01,4.52,0.3,0.3467,10.85,4.58,137.59671520737328,8.47,10.554155124423964,0.0
1876-03-01,4.51,0.3,0.34,10.85,4.57,137.29229769585254,8.47,10.35019539170507,0.0
1876-04-01,4.34,0.3,0.3333,10.75,4.56,133.34619720930232,8.54,10.240619246511628,0.0
1876-05-01,4.18,0.3,0.3267,10.37,4.54,133.1364262295082,8.86,10.405662786885246,0.0
